s.no,year,month,state,occupation,item,men,women,"rural_wages_|__official_website_of_labour_bureau,_ministry_of_labour_and
employment,government_of_india"
93.0,2015-2016,Feb,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),399.37,194.76,
96.0,2024-2025,Feb,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),600.24,397.88,
97.0,2018-2019,Feb,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",396.81,227.89,
99.0,2016-2017,Feb,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",382.63,210.13,
100.0,2020-2021,Feb,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",441.16,286.11,
101.0,2024-2025,Feb,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",582.8,372.37,
102.0,2016-2017,Feb,TAMIL NADU,Agriculture,Ploughing/Tilling workers,485.81,,
103.0,2020-2021,Feb,TAMIL NADU,Agriculture,Ploughing/Tilling workers,662.81,,
104.0,2018-2019,Feb,TAMIL NADU,Agriculture,Ploughing/Tilling workers,571.03,,
105.0,2017-2018,Feb,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,436.79,241.57,
106.0,2015-2016,Feb,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,378.42,236.74,
107.0,2021-2022,Feb,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,561.24,329.36,
108.0,2019-2020,Feb,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,475.22,292.75,
109.0,2024-2025,Feb,TAMIL NADU,Agriculture,Ploughing/Tilling workers,712.71,,
111.0,2023-2024,Feb,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,363.53,
112.0,2016-2017,Feb,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
117.0,2024-2025,Mar,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,396.14,
118.0,2017-2018,Mar,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
119.0,2015-2016,Mar,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
122.0,2020-2021,Mar,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),504.48,297.17,
123.0,2018-2019,Mar,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),418.33,261.3,
124.0,2016-2017,Mar,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),359.23,229.48,
127.0,2024-2025,Mar,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),605.0,397.88,
128.0,2017-2018,Mar,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),423.9,205.71,
129.0,2015-2016,Mar,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),412.57,201.71,
130.0,2020-2021,Mar,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",441.16,286.11,
131.0,2018-2019,Mar,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",399.3,230.9,
133.0,2016-2017,Mar,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",382.63,210.13,
134.0,2022-2023,Mar,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,564.74,336.39,
135.0,2024-2025,Mar,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",582.8,372.37,
136.0,2018-2019,Mar,TAMIL NADU,Agriculture,Ploughing/Tilling workers,571.03,,
137.0,2016-2017,Mar,TAMIL NADU,Agriculture,Ploughing/Tilling workers,485.81,,
138.0,2020-2021,Mar,TAMIL NADU,Agriculture,Ploughing/Tilling workers,659.44,,
139.0,2019-2020,Mar,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,475.6,288.68,
140.0,2024-2025,Mar,TAMIL NADU,Agriculture,Ploughing/Tilling workers,712.71,,
141.0,2017-2018,Mar,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,442.25,243.46,
142.0,2015-2016,Mar,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,386.41,226.66,
143.0,2021-2022,Mar,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,561.24,329.36,
146.0,2023-2024,Mar,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,369.41,
147.0,2016-2017,Mar,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
148.0,2022-2023,Mar,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),513.61,319.9,
150.0,2019-2020,Mar,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),434.62,265.0,
151.0,2017-2018,Mar,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),378.81,244.03,
152.0,2022-2023,Mar,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",480.95,312.37,
153.0,2015-2016,Mar,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),354.97,221.86,
154.0,2021-2022,Mar,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),499.5,305.52,
157.0,2023-2024,Mar,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),557.56,381.19,
158.0,2016-2017,Mar,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),413.9,201.71,
159.0,2022-2023,Mar,TAMIL NADU,Agriculture,Ploughing/Tilling workers,678.75,,
160.0,2021-2022,Mar,TAMIL,Agriculture,General agricultural labourers (including,456.7,293.12,
161.0,2019-2020,Mar,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",417.87,248.8,
163.0,2017-2018,Mar,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",397.22,218.6,
164.0,2015-2016,Mar,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",373.9,208.22,
165.0,2023-2024,Mar,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",558.01,353.54,
166.0,2019-2020,Mar,TAMIL NADU,Agriculture,Ploughing/Tilling workers,624.54,,
167.0,2017-2018,Mar,TAMIL NADU,Agriculture,Ploughing/Tilling workers,515.0,,
169.0,2015-2016,Mar,TAMIL NADU,Agriculture,Ploughing/Tilling workers,475.33,,
170.0,2021-2022,Mar,TAMIL NADU,Agriculture,Ploughing/Tilling workers,665.0,,
171.0,2020-2021,Mar,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,557.32,323.54,
172.0,2018-2019,Mar,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,446.67,281.39,
173.0,2023-2024,Mar,TAMIL NADU,Agriculture,Ploughing/Tilling workers,701.57,,
174.0,2016-2017,Mar,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,394.87,219.24,
175.0,2016-2017,Apr,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",382.63,210.13,
176.0,2020-2021,Apr,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",441.16,286.11,
177.0,2018-2019,Apr,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",399.3,230.9,
179.0,2022-2023,Apr,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,546.97,323.75,
180.0,2024-2025,Apr,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",582.8,372.37,
181.0,2020-2021,Apr,TAMIL NADU,Agriculture,Ploughing/Tilling workers,659.44,,
182.0,2018-2019,Apr,TAMIL NADU,Agriculture,Ploughing/Tilling workers,571.03,,
183.0,2016-2017,Apr,TAMIL NADU,Agriculture,Ploughing/Tilling workers,485.81,,
184.0,2015-2016,Apr,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,386.41,226.66,
185.0,2021-2022,Apr,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,561.24,329.36,
187.0,2024-2025,Apr,TAMIL NADU,Agriculture,Ploughing/Tilling workers,712.71,,
188.0,2017-2018,Apr,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,442.25,243.46,
191.0,2023-2024,Apr,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,376.3,
192.0,2016-2017,Apr,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
193.0,2022-2023,Apr,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),519.5,335.42,
195.0,2021-2022,Apr,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),499.5,305.52,
197.0,2017-2018,Apr,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),378.81,244.03,
198.0,2022-2023,Apr,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",511.9,324.13,
199.0,2015-2016,Apr,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),354.97,220.42,
202.0,2023-2024,Apr,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),557.56,381.19,
203.0,2016-2017,Apr,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),413.9,201.71,
204.0,2022-2023,Apr,TAMIL NADU,Agriculture,Ploughing/Tilling workers,678.75,,
205.0,2015-2016,Apr,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",373.9,208.22,
206.0,2021-2022,Apr,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",456.7,293.12,
209.0,2017-2018,Apr,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",400.42,221.0,
210.0,2023-2024,Apr,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",558.01,353.54,
211.0,2021-2022,Apr,TAMIL NADU,Agriculture,Ploughing/Tilling workers,665.0,,
213.0,2017-2018,Apr,TAMIL NADU,Agriculture,Ploughing/Tilling workers,515.0,,
215.0,2015-2016,Apr,TAMIL NADU,Agriculture,Ploughing/Tilling workers,475.33,,
216.0,2020-2021,Apr,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,557.32,323.54,
217.0,2018-2019,Apr,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,446.67,281.39,
218.0,2023-2024,Apr,TAMIL NADU,Agriculture,Ploughing/Tilling workers,701.57,,
219.0,2016-2017,Apr,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,394.87,219.24,
220.0,2015-2016,Apr,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
223.0,2024-2025,Apr,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,396.14,
224.0,2017-2018,Apr,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
227.0,2020-2021,Apr,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),504.48,298.14,
228.0,2018-2019,Apr,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),418.33,261.3,
229.0,2016-2017,Apr,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),359.23,229.48,
230.0,2015-2016,Apr,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),413.9,201.71,
233.0,2024-2025,Apr,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),609.76,397.88,
234.0,2017-2018,Apr,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),423.9,205.71,
235.0,2017-2018,May,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),378.81,244.03,
236.0,2022-2023,May,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",523.81,330.01,
237.0,2015-2016,May,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),347.3,220.42,
238.0,2021-2022,May,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),499.5,305.52,
241.0,2023-2024,May,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),557.56,381.19,
242.0,2016-2017,May,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),413.9,201.71,
244.0,2022-2023,May,TAMIL NADU,Agriculture,Ploughing/Tilling workers,678.75,,
247.0,2017-2018,May,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",400.42,221.0,
248.0,2015-2016,May,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",373.9,208.22,
249.0,2021-2022,May,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",461.46,299.01,
250.0,2023-2024,May,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",558.23,353.54,
251.0,2015-2016,May,TAMIL NADU,Agriculture,Ploughing/Tilling workers,475.33,,
252.0,2021-2022,May,TAMIL NADU,Agriculture,Ploughing/Tilling workers,665.0,,
254.0,2017-2018,May,TAMIL NADU,Agriculture,Ploughing/Tilling workers,515.0,,
256.0,2016-2017,May,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,394.87,219.24,
257.0,2020-2021,May,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,557.32,323.54,
258.0,2018-2019,May,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,446.67,281.39,
259.0,2023-2024,May,TAMIL NADU,Agriculture,Ploughing/Tilling workers,701.57,,
260.0,2017-2018,May,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
261.0,2015-2016,May,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
264.0,2024-2025,May,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,396.14,
267.0,2016-2017,May,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),359.23,229.0,
268.0,2020-2021,May,TAMIL,Agriculture,Sowing(including Planting/Transplanting/,504.48,298.14,
269.0,2018-2019,May,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),427.62,264.15,
270.0,2017-2018,May,TAMIL,Agriculture,Horticulture workers (including nursery,423.9,205.71,
271.0,2015-2016,May,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),413.9,201.71,
274.0,2024-2025,May,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),614.52,397.88,
275.0,2018-2019,May,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",405.6,231.69,
277.0,2016-2017,May,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",382.63,210.13,
278.0,2020-2021,May,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",441.16,286.11,
279.0,2022-2023,May,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,551.52,330.0,
280.0,2024-2025,May,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",583.01,372.37,
281.0,2016-2017,May,TAMIL NADU,Agriculture,Ploughing/Tilling workers,485.81,,
282.0,2020-2021,May,TAMIL NADU,Agriculture,Ploughing/Tilling workers,659.44,,
283.0,2018-2019,May,TAMIL NADU,Agriculture,Ploughing/Tilling workers,571.03,,
284.0,2017-2018,May,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,442.25,243.46,
285.0,2015-2016,May,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,376.87,230.87,
286.0,2021-2022,May,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,564.81,329.36,
288.0,2024-2025,May,TAMIL NADU,Agriculture,Ploughing/Tilling workers,718.96,,
290.0,2023-2024,May,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,379.63,
291.0,2016-2017,May,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
293.0,2022-2023,May,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),537.14,345.88,
295.0,2020-2021,Jun,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,555.19,319.97,
296.0,2018-2019,Jun,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,446.67,281.39,
297.0,2023-2024,Jun,TAMIL NADU,Agriculture,Ploughing/Tilling workers,701.57,,
298.0,2016-2017,Jun,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,393.85,218.43,
301.0,2024-2025,Jun,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,401.4,
302.0,2017-2018,Jun,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
303.0,2015-2016,Jun,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
306.0,2018-2019,Jun,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),419.23,265.2,
307.0,2016-2017,Jun,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),355.38,227.01,
308.0,2020-2021,Jun,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),504.48,298.14,
310.0,2024-2025,Jun,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),614.52,404.54,
311.0,2017-2018,Jun,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),423.9,205.71,
312.0,2015-2016,Jun,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),413.9,201.71,
314.0,2020-2021,Jun,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",441.16,286.11,
315.0,2018-2019,Jun,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",405.6,231.69,
317.0,2016-2017,Jun,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",380.37,207.3,
318.0,2022-2023,Jun,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,560.61,336.88,
319.0,2024-2025,Jun,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",587.36,381.19,
320.0,2018-2019,Jun,TAMIL NADU,Agriculture,Ploughing/Tilling workers,571.03,,
321.0,2016-2017,Jun,TAMIL NADU,Agriculture,Ploughing/Tilling workers,481.77,,
322.0,2020-2021,Jun,TAMIL NADU,Agriculture,Ploughing/Tilling workers,659.44,,
323.0,2019-2020,Jun,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,477.36,273.02,
324.0,2024-2025,Jun,TAMIL NADU,Agriculture,Ploughing/Tilling workers,718.96,,
325.0,2017-2018,Jun,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,426.77,253.75,
326.0,2015-2016,Jun,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,376.87,229.81,
327.0,2021-2022,Jun,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,564.81,329.36,
330.0,2023-2024,Jun,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,380.88,
331.0,2016-2017,Jun,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
332.0,2022-2023,Jun,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),547.73,349.67,
334.0,2019-2020,Jun,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),462.73,264.78,
335.0,2017-2018,Jun,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),378.81,244.03,
336.0,2022-2023,Jun,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",523.81,330.01,
337.0,2015-2016,Jun,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),337.22,220.42,
338.0,2021-2022,Jun,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),499.5,305.52,
341.0,2023-2024,Jun,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),557.56,381.19,
342.0,2016-2017,Jun,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),423.9,205.71,
343.0,2022-2023,Jun,TAMIL NADU,Agriculture,Ploughing/Tilling workers,682.94,,
344.0,2021-2022,Jun,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",466.22,304.89,
345.0,2019-2020,Jun,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",415.35,249.64,
347.0,2017-2018,Jun,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",400.42,221.0,
348.0,2015-2016,Jun,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",373.9,208.22,
349.0,2023-2024,Jun,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",558.23,353.54,
350.0,2019-2020,Jun,TAMIL NADU,Agriculture,Ploughing/Tilling workers,628.83,,
351.0,2017-2018,Jun,TAMIL NADU,Agriculture,Ploughing/Tilling workers,515.0,,
353.0,2015-2016,Jun,TAMIL NADU,Agriculture,Ploughing/Tilling workers,475.33,,
